Probe Set Name,Stat Pairs,Stat Pairs Used,Avg Diff,Detection,Detection p-value,Stat Common Pairs,Signal Log Ratio,Signal Log Ratio Low,Avg Diff,Change,Change p-value,Positive,Negative,Pairs,Pairs Used,Pairs InAvg,Pos Fraction,Log Avg,Pos/Neg,Avg Diff,Abs Call,Inc,Dec,Inc Ratio,Dec Ratio,Pos Change,Neg Change,Inc/Dec,DPos-DNeg Ratio,Log Avg Ratio Change,Diff Call,Avg Diff Change,B=A,Fold Change,Sort Score
AFFX-Athal-5SrRNA_at,16,16,47.3,A,0.150527,16,-2.8,-4.3,47.3,D,0.999893,,,,,,,,,,,,,,,,,,,,,,,,
AFFX-Athal-Actin_3_f_at,16,16,2853.3,P,0.000219,16,-0.6,-0.8,2853.3,D,0.999982,,,,,,,,,,,,,,,,,,,,,,,,
AFFX-Athal-Actin_5_r_at,16,16,508.2,P,0.000468,16,-0.1,-0.4,508.2,NC,0.5,,,,,,,,,,,,,,,,,,,,,,,,
AFFX-Athal-Actin_M_at,16,16,2319.5,P,0.000219,16,0,-0.2,2319.5,NC,0.5,,,,,,,,,,,,,,,,,,,,,,,,
AFFX-Athal-GAPDH_3_s_at,16,16,7329.4,P,0.000219,16,-0.2,-0.5,7329.4,NC,0.544665,,,,,,,,,,,,,,,,,,,,,,,,
AFFX-Athal-GAPDH_5_s_at,16,16,10496.6,P,0.000219,16,0.5,0.1,10496.6,I,0.000007,,,,,,,,,,,,,,,,,,,,,,,,
AFFX-Athal-GAPDH_M_s_at,16,16,14911.2,P,0.000219,16,-0.1,-0.3,14911.2,NC,0.5,,,,,,,,,,,,,,,,,,,,,,,,
AFFX-Athal-Ubq_3_f_at,16,16,21154.1,P,0.000266,16,-0.1,-0.3,21154.1,NC,0.5,,,,,,,,,,,,,,,,,,,,,,,,
AFFX-Athal-Ubq_5_f_at,16,16,18201.6,P,0.000219,16,0.2,0.1,18201.6,NC,0.5,,,,,,,,,,,,,,,,,,,,,,,,
AFFX-Athal-Ubq_M_f_at,16,16,12523.5,P,0.000266,16,0.1,-0.3,12523.5,NC,0.184713,,,,,,,,,,,,,,,,,,,,,,,,
267625_at,11,11,120.3,P,0.005859,11,-0.9,-1.6,120.3,NC,0.736659,,,,,,,,,,,,,,,,,,,,,,,,
267626_at,11,11,95.8,P,0.01416,11,1.2,0.1,95.8,NC,0.018128,,,,,,,,,,,,,,,,,,,,,,,,
267627_at,11,11,2311.4,P,0.000244,11,3,2.6,2311.4,I,0.00002,,,,,,,,,,,,,,,,,,,,,,,,
267628_at,11,11,3454.4,P,0.000244,11,-0.3,-0.6,3454.4,NC,0.973302,,,,,,,,,,,,,,,,,,,,,,,,
267629_at,11,11,152.4,A,0.432373,11,-0.4,-1.1,152.4,D,0.999226,,,,,,,,,,,,,,,,,,,,,,,,
267630_at,11,11,67.9,A,0.219482,11,-3,-4.2,67.9,D,0.999977,,,,,,,,,,,,,,,,,,,,,,,,
267631_at,11,11,336.9,P,0.01416,11,1.1,0.2,336.9,NC,0.021224,,,,,,,,,,,,,,,,,,,,,,,,
267632_at,11,11,440.9,P,0.000732,11,0.5,-0.1,440.9,NC,0.022932,,,,,,,,,,,,,,,,,,,,,,,,
267633_at,11,11,8.9,A,0.870361,11,0.6,-1.2,8.9,NC,0.242585,,,,,,,,,,,,,,,,,,,,,,,,
267634_at,11,11,27.6,A,0.303711,11,1,-0.7,27.6,NC,0.975245,,,,,,,,,,,,,,,,,,,,,,,,
267635_at,11,11,123.2,A,0.067627,11,-4,-4.9,123.2,D,0.99998,,,,,,,,,,,,,,,,,,,,,,,,
267636_at,11,11,5.8,A,0.72583,11,0.1,-0.6,5.8,NC,0.767451,,,,,,,,,,,,,,,,,,,,,,,,
267637_at,11,11,91.1,P,0.018555,11,-1.6,-2.9,91.1,D,0.99996,,,,,,,,,,,,,,,,,,,,,,,,
267638_at,11,11,1724.4,P,0.000244,11,-1.5,-1.9,1724.4,D,0.99998,,,,,,,,,,,,,,,,,,,,,,,,
267639_at,11,11,75.1,A,0.303711,11,1.6,0.1,75.1,NC,0.153232,,,,,,,,,,,,,,,,,,,,,,,,
267640_at,11,11,398.9,P,0.000244,11,-2.3,-2.9,398.9,D,0.99998,,,,,,,,,,,,,,,,,,,,,,,,
267641_at,11,11,135.6,P,0.001221,11,-2.4,-3.6,135.6,D,0.999954,,,,,,,,,,,,,,,,,,,,,,,,
267642_at,11,11,830,P,0.000244,11,0.8,0.4,830,I,0.00006,,,,,,,,,,,,,,,,,,,,,,,,
267643_at,11,11,16.5,A,0.334473,11,-2.2,-3.6,16.5,NC,0.921063,,,,,,,,,,,,,,,,,,,,,,,,
267644_s_at,11,11,170,P,0.000244,11,-0.9,-1.5,170,D,0.995519,,,,,,,,,,,,,,,,,,,,,,,,
267645_at,11,11,416.7,P,0.000244,11,0.3,-0.4,416.7,NC,0.177412,,,,,,,,,,,,,,,,,,,,,,,,
267646_at,11,11,704.2,P,0.001953,11,1.2,0.1,704.2,NC,0.007788,,,,,,,,,,,,,,,,,,,,,,,,
267593_at,11,11,3.4,A,0.753906,11,-2.1,-4.8,3.4,NC,0.875448,,,,,,,,,,,,,,,,,,,,,,,,
267594_at,11,11,80.3,P,0.046143,11,0.3,-0.8,80.3,NC,0.5,,,,,,,,,,,,,,,,,,,,,,,,
267595_at,11,11,135.3,A,0.219482,11,-0.1,-0.8,135.3,NC,0.805199,,,,,,,,,,,,,,,,,,,,,,,,
267596_s_at,11,11,5374.8,P,0.000244,11,2.6,2.2,5374.8,I,0.00002,,,,,,,,,,,,,,,,,,,,,,,,
267597_at,11,11,62.1,A,0.19458,11,0.4,-0.6,62.1,NC,0.105663,,,,,,,,,,,,,,,,,,,,,,,,
267598_at,11,11,19.4,A,0.753906,11,-2.2,-2.8,19.4,NC,0.958799,,,,,,,,,,,,,,,,,,,,,,,,
267599_at,11,11,411.4,P,0.008057,11,-0.3,-0.6,411.4,D,0.996645,,,,,,,,,,,,,,,,,,,,,,,,
267600_at,11,11,2530,P,0.000244,11,-1.4,-1.9,2530,D,0.99998,,,,,,,,,,,,,,,,,,,,,,,,
267601_at,11,11,505.4,P,0.000244,11,-0.1,-0.5,505.4,NC,0.5,,,,,,,,,,,,,,,,,,,,,,,,
267602_at,11,11,827.4,P,0.000244,11,1.3,0.7,827.4,I,0.00002,,,,,,,,,,,,,,,,,,,,,,,,
267603_at,11,11,379.8,M,0.056152,11,-0.2,-0.7,379.8,NC,0.98579,,,,,,,,,,,,,,,,,,,,,,,,
267604_at,11,11,375,P,0.000244,11,1.9,1.1,375,I,0.000023,,,,,,,,,,,,,,,,,,,,,,,,
267605_at,11,11,261,P,0.001221,11,-0.8,-1.5,261,NC,0.991489,,,,,,,,,,,,,,,,,,,,,,,,
267606_at,11,11,108.1,A,0.095215,11,0.1,-0.8,108.1,NC,0.242585,,,,,,,,,,,,,,,,,,,,,,,,
267607_s_at,11,11,268,P,0.000244,11,-1.7,-2.5,268,D,0.99997,,,,,,,,,,,,,,,,,,,,,,,,
267608_at,11,11,1565.7,P,0.000244,11,-0.9,-1.2,1565.7,D,0.99998,,,,,,,,,,,,,,,,,,,,,,,,
267609_at,11,11,409.5,P,0.00415,11,-1.4,-2,409.5,D,0.99998,,,,,,,,,,,,,,,,,,,,,,,,
267610_at,11,11,11.4,A,0.850342,11,0.3,-1.4,11.4,NC,0.169098,,,,,,,,,,,,,,,,,,,,,,,,
267611_at,11,11,5582.7,P,0.000244,11,1.8,1.4,5582.7,I,0.00002,,,,,,,,,,,,,,,,,,,,,,,,
